n_qubits,fidelity_mean,fidelity_std,runtime_mean
1,0.6044410183090553,0.2688074351847206,4.521608352661133e-05
2,0.21360834038843685,0.1766388862966161,0.0
3,0.11846810212557916,0.09167990189344527,0.0
4,0.07926183893808239,0.10087566104701076,0.0
5,0.04639102235009896,0.039255032111698195,2.537965774536133e-05
